https://de.wiktionary.org/wiki/Verzeichnis:Deutsch/Grundwortschatz
http://www.isb.bayern.de/download/1353/neuerungen-deutschlp-gs-07-01-12.pdf
http://bildungsserver.berlin-brandenburg.de/fileadmin/bbb/unterricht/faecher/sprachen/deutsch/Grundschule/2011_11_25_GWS_1_WEB.pdf


Abend, der
Abfahrt, die
Abflug, der
Absender, der
Adresse, die
Alkohol, der
Alter, das
Ampel, die
Anfang, der
Angebot, das
Angel, die
Angestellte, die
Angler, der
Angst, die
Ankunft, die
Anmeldung, die
Anpfiff, der
Anrede, die
Anrufbeantworter, der
Ansage, die
Anschluss, der
Antwort, die
Anzeige, die
Anzug, der
Apfel, der
Apotheke, die
Appartement, das
Appetit, der
April, der
Arbeit, die
Arbeitsplatz, der
Arm, der
Arzt, der
Ast, der
Aufenthalt, der
Aufgabe, die
Aufzug, der
Auge, das
August, der
Ausbildung, die
Ausflug, der
Ausgang, der
Auskunft, die
Ausland, das
Ausländer, der
Ausländerin, die
Aussage, die
Ausstellung, die
Ausweis, der
Auto, das
Autobahn, die
Automat, der
Baby, das
Bad, das
Bahn, die
Bahnhof, der
Bahnsteig, der
Balkon, der
Ball, der
Banane, die
Bank, die
Batterie, die
Bauch, der
Baum, der
Beamte, der
Beamtin, die
Bein, das
Beispiel, das
Bekannte, die
Benzin, das
Beratung, die
Berg, der
Beruf, der
Berufsschule, die
Besuch, der
Betrag, der
Bett, das
Bewerbung, die
Biene, die
Bier, das
Bild, das
Bildschirm, der
Birne, die
Biss, der
Bitte, die
Blatt, das
Bleistift, der
Blick, der
Blinde, der
Blitz, der
Block, der
Blume, die
Bluse, die
Blut, das
Blüte, die
Boden, der
Bogen, der
Bohne, die
Boot, das
Brand, der
Brief, der
Briefkasten, der
Briefmarke, die
Brieftasche, die
Briefumschlag, der
Brille, die
Brot, das
Bruder, der
Brötchen, das
Brücke, die
Buch, das
Buchstabe, der
Burg, die
Bus, der
Busch, der
Butter, die
Bäcker, der
Bäckerei, die
Bürger, der
Büro, das
CD, die
CD-ROM, die
Café, das
Cent, der
Chef, der
Clown, der
Computer, der
Creme, die
Dach, das
Dame, die
Dank, der
Datum, das
Dauer, die
Decke, die
Deutsche, der
Deutsche, die
Deutschland
Dezember, der
Dienstag, der
Ding, das
Disco, die
Doktor, der
Dom, der
Donner, der
Donnerstag, der
Doppelzimmer, das
Dorf, das
Draht, der
Dreck, der
Druck, der
Drucker, der
Dummheit, die
Durchsage, die
Durst, der
Durst, die
Dusche, die
Düne, die
E-Mail, die
Ebbe, die
Ecke, die
Ehefrau, die
Ehemann, der
Ei, das
Eimer, der
Einführung, die
Eingang, der
Einladung, die
Eintritt, der
Einwohner, der
Einzelzimmer, das
Eis, das
Eltern, die
Empfang, der
Empfänger, der
Ende, das
Enkel, der
Ente, die
Entfernung, die
Entschuldigung, die
Entwicklung, die
Erde, die
Erdgeschoss, das
Erfahrung, die
Ergebnis, das
Erlaubnis, die
Erlebnis, das
Ermäßigung, die
Erwachsene, der
Erwartung, die
Erzählung, die
Essen, das
Eule, die
Euro, der
Europa, das
Export, der
Fabrik, die
Fahrer, der
Fahrkarte, die
Fahrplan, der
Fahrrad, das
Fahrt, die
Familie, die
Familienname, der
Familienstand, der
Farbe, die
Fax, das
Februar, der
Fehler, der
Feld, das
Fenster, das
Ferien, die
Fernseher
Fernsehgerät, das
Fest, das
Fett, das
Feuchtigkeit, die
Feuer, das
Feuerwehr, die
Feuerzeug, das
Fieber, das
Film, der
Finger, der
Firma, die
Fisch, der
Flasche, die
Fleisch, das
Fleiß, der
Fliege, die
Flughafen, der
Flugzeug, das
Flur, der
Fluss, der
Flut, die
Flügel, der
Flüssigkeit, die
Formular, das
Foto, das
Fotoapparat, der
Frage, die
Frau, die
Freiheit, die
Freitag, der
Freizeit, die
Fremde, der
Freund, der
Freundin, die
Frieden, der
Friseur, der
Frist, die
Frucht, die
Frühjahr, das
Frühling, der
Frühstück, das
Fuchs, der
Fundbüro, das
Fuß, der
Fußball, der
Fußgänger, der
Fähre, die
Führerschein, der
Führung, die
Füller, der
Gabel, die
Garage, die
Garantie, die
Garten, der
Gas, das
Gast, der
Gebiet, das
Geburt, die
Geburtsjahr, das
Geburtsort, der
Geburtstag, der
Gebäude, das
Gebühr, die
Gefahr, die
Gefühl, das
Gegenteil, das
Geheimnis, das
Geld, das
Geldbörse, die
Gemeinde, die
Gemüse, das
Gepäck, das
Gericht, das
Geruch, der
Gesamtschule, die
Geschenk, das
Geschirr, das
Geschwister, die
Geschäft, das
Gesetz, das
Gesicht, das
Gespräch, das
Gesundheit, die
Getränk, das
Gewicht, das
Gewitter, das
Gewächs, das
Glas, das
Gleis, das
Glück, das
Glückwunsch, der
Goethe-Institut, das
Gott, der
Gras, das
Grenze, die
Grippe, die
Großeltern, die
Großmutter, die
Großvater, der
Grundschule, die
Gruppe, die
Gruß, der
Größe, die
Gymnasium, das
Haar, das
Hafen, der
Halbpension, die
Halle, die
Hals, der
Haltestelle, die
Hand, die
Hand, die
Handtuch, das
Handy, das
Hang, der
Hase, der
Haufen, der
Haus, das
Hausaufgabe, die
Hausfrau, die
Haushalt, der
Hausmann, der
Haut, die
Heft, das
Heide, der
Heimat, die
Heizung, die
Held, der
Heldin, die
Hemd, das
Herbst, der
Herd, der
Herr, der
Herstellung, die
Herz, das
Hexe, die
Hilfe, die
Himmel, der
Hitze, die
Hobby, das
Holz, das
Hose, die
Hund, der
Hunger, der
Hähnchen, das
Höhe, die
Höhle, die
Idee, die
Igel, der
Impfung, die
Import, der
Industrie, die
Information, die
Inhalt, der
Interesse, das
Internet, das
Jacke, die
Jahr, das
Januar, der
Job, der
Jugend, die
Jugendherberge, die
Jugendliche, der
Juli, der
Junge, der
Juni, der
Kaffee, der
Kalender, der
Kamera, die
Kamm, der
Kanne, die
Karte, die
Kartoffel, die
Kasse, die
Kassette, die
Kassettenrecorder,
Kater, der
Katze, die
Keller, der
Kellner, der
Kenntnisse, die
Kennzeichen, das
Kette, die
Kfz, das
Kiefer, der
Kind, das
Kindergarten,
Kinderwagen, der
Kino, das
Kiosk, der
Kirche, die
Klasse, die
Kleid, das
Kleidung, die
Kneipe, die
Koch, der
Koffer, der
Kollege, der
Kollegin, die
